factor_key,material_label,unit,value_kg_co2e_per_kg,source_ref,status,notes
plastics_generic,Generic plastics,kg,2.7,Ecoinvent 3.8 / PEF reference,grounded_meta,"Mid-range value across PET/PP/ABS used by streamlined LCA"
steel_generic,Generic steel,kg,2.1,WorldSteel LCI 2024 averaged hot-rolled,grounded_meta,"Hot-rolled section average; covers chassis steel"
electronics_generic,Generic electronics assembly,kg,8.4,PAIA composite (MIT 2023),grounded_meta,"PAIA composite for printed circuit assemblies excluding precious-metal hotspots"
elastomers_generic,Generic elastomers,kg,3.2,Ecoinvent 3.8 / PEF reference,grounded_meta,"Average for rubber and foamed-rubber components"
packaging_cardboard_generic,Generic corrugated cardboard packaging,kg,1.05,FEFCO 2024,grounded_meta,"European corrugated cardboard average"
other_generic,Residual material mix,kg,1.8,Internal estimation profile,estimated,"Used as residual catch-all for unspecified mass fractions"
plastics_recycled,Recycled plastic blend,kg,1.7,Ecoinvent 3.8 / PEF,grounded_meta,"For products that publish recycled-content share"
aluminum_recycled,Recycled aluminum,kg,1.0,WorldAluminium LCI 2023 secondary,grounded_meta,"Suitable for 100% recycled structural frames"
aluminum_primary,Primary aluminum,kg,10.4,WorldAluminium LCI 2023 primary EU mix,grounded_meta,"Used when recycled fraction is not declared"
copper_generic,Generic copper,kg,3.8,Ecoinvent 3.8 copper sheet,grounded_meta,"Used in heat-pump heat exchanger coils and wiring"
display_lcd_module_generic,LCD/OLED display module composite,kg,75.0,PAIA composite display 2023,grounded_meta,"Single-component composite for laptop/monitor displays; very carbon-dense per kg"
li_ion_pack_mix,Li-ion EV pack sales-weighted mix,kWh,90.0,IEA Global EV Outlook 2024 EV LCA Calculator,grounded_meta,"Per-kWh of pack capacity. Default battery factor"
li_ion_pack_lfp,Li-ion EV pack LFP chemistry,kWh,72.8,R&D GREET 2024 (Argonne),grounded_meta,"Per-kWh of pack capacity. EU production estimate"
li_ion_pack_nmc,Li-ion EV pack NMC chemistry,kWh,110.0,R&D GREET 2024 (Argonne),grounded_meta,"Per-kWh of pack capacity. EU production estimate"
refrigerant_r134a,Refrigerant R-134a leakage,kg,1430.0,IPCC AR6 GWP100,grounded,"GWP100 used as emission factor for refrigerant lost as leak or EOL release"
refrigerant_r410a,Refrigerant R-410A leakage,kg,2088.0,IPCC AR6 GWP100,grounded,"GWP100"
refrigerant_r32,Refrigerant R-32 leakage,kg,675.0,IPCC AR6 GWP100,grounded,"GWP100; lower-GWP modern heat-pump refrigerant"
refrigerant_r290,Refrigerant R-290 propane leakage,kg,3.0,IPCC AR6 GWP100,grounded,"GWP100; flammable but ultra-low GWP"
steel_hp_grade,Steel heat-pump grade structural,kg,2.0,WorldSteel LCI 2024,grounded_meta,"Steel content dominates heat-pump A1-A3 mass"
abs_hp_grade,ABS plastic heat-pump enclosures,kg,3.1,Ecoinvent 3.8,grounded_meta,"Used in Daikin Altherma plastic share"
smartphone_composite_production,Smartphone composite production (premium),kg,293.0,Apple PER 2023 reverse-engineered,grounded_meta,"Composite factor per kg of finished smartphone device — covers cell/PCB/chip-fab dominant emissions"
smartphone_composite_production_repairable,Smartphone composite production (modular),kg,205.0,Fairphone LCA 2022 reverse-engineered,grounded_meta,"For modular repairable smartphones with lower carbon intensity"
laptop_composite_production,Laptop composite production,kg,175.0,Dell PAIA 2026 reverse-engineered,grounded_meta,"Composite factor per kg of finished laptop — display + mainboard dominate"
heatpump_composite_production,Heat-pump composite production (A1-A3),kg,5.15,Daikin Altherma EPD 2024 reverse-engineered,grounded_meta,"Per kg of indoor monobloc heat-pump dry mass — covers A1-A3"

