id,mode,type,domain,query,product,session,success,steps,correct,latency_ms,confidence,confidence_raw,confidence_cal,cost_retrieval_calls,cost_rule_checks,cost_tokens_in,cost_tokens_out,n_steps,answer,expected_contains,cost_usd_running,model,temperature,max_context_chars,max_output_tokens,harness_commit
battery.kb.logic.00720,LINC,logic,battery,Is LiCell-014 a Product?,,s1,1,"[{""source"": ""LINC"", ""text"": ""Premises: \n1. ext:batt_014 a ext:LithiumIonBattery.\n2. ext:LithiumIonBattery rdfs:subClassOf ext:RechargeableBattery.\n3. ext:RechargeableBattery rdfs:subClassOf ext:Battery.\n4. ext:Battery rdfs:subClassOf ext:Product.\n5. ext:batt_014 rdfs:label \""LiCell-014\"".\n\nGoal: Is LiCell-014 a Product?\n\nReasoning: \n- From premise 1, we know that LiCell-014 (ext:batt_014) is a Lithium-ion Battery.\n- From premise 2, we see that Lithium-ion Battery is a subclass of Rechargeable Battery.\n- From premise 3, Rechargeable Battery is a subclass of Battery.\n- From premise 4, Battery is a subclass of Product.\n- Therefore, since LiCell-014 is a Lithium-ion Battery, it is also a Rechargeable Battery, a Battery, and consequently a Product.\n\nFinal: yes"", ""request_id"": ""req_7f445cff34f54dd79692e7e25f1f3c5f"", ""execution_api"": ""live""}]",1,,0.85,0.85,0.85,1,0,764,209,1,yes,Product,,gpt-4o-mini-2024-07-18,0.0,12000,300,b3da0efcb33025a739a784324b844af10ebe8a35
battery.kb.logic.00721,LINC,logic,battery,Is LiCell-013 a Product?,,s1,1,"[{""source"": ""LINC"", ""text"": ""Premises: \n1. ext:batt_013 a ext:LithiumIonBattery.\n2. ext:LithiumIonBattery rdfs:subClassOf ext:RechargeableBattery.\n3. ext:RechargeableBattery rdfs:subClassOf ext:Battery.\n4. ext:Battery rdfs:subClassOf ext:Product.\n\nGoal: Is LiCell-013 a Product?\n\nReasoning: \n- From premise 1, we know that LiCell-013 is a Lithium-ion Battery.\n- From premise 2, we see that all Lithium-ion Batteries are subclasses of Rechargeable Batteries.\n- From premise 3, we conclude that all Rechargeable Batteries are subclasses of Batteries.\n- From premise 4, we conclude that all Batteries are subclasses of Products.\n- Therefore, since LiCell-013 is a Lithium-ion Battery, it is also a Rechargeable Battery, a Battery, and ultimately a Product.\n\nFinal: yes"", ""request_id"": ""req_9ce8b25894af4fd0ab068abf58c837df"", ""execution_api"": ""live""}]",1,,0.85,0.85,0.85,1,0,767,191,1,yes,Product,,gpt-4o-mini-2024-07-18,0.0,12000,300,b3da0efcb33025a739a784324b844af10ebe8a35
battery.kb.logic.00722,LINC,logic,battery,Is LiCell-038 a Product?,,s1,1,"[{""source"": ""LINC"", ""text"": ""Premises: \n1. ext:batt_038 a ext:LithiumIonBattery.\n2. ext:LithiumIonBattery rdfs:subClassOf ext:RechargeableBattery.\n3. ext:RechargeableBattery rdfs:subClassOf ext:Battery.\n4. ext:Battery rdfs:subClassOf ext:Product.\n5. ext:batt_038 rdfs:label \""LiCell-038\"".\n\nGoal: Is LiCell-038 a Product?\n\nReasoning:\n- From premise 1, we know that LiCell-038 is a Lithium-ion Battery.\n- From premise 2, we see that Lithium-ion Battery is a subclass of Rechargeable Battery.\n- From premise 3, Rechargeable Battery is a subclass of Battery.\n- From premise 4, Battery is a subclass of Product.\n- Therefore, since LiCell-038 is a Lithium-ion Battery, it is also a Rechargeable Battery, a Battery, and ultimately a Product.\n\nFinal: yes"", ""request_id"": ""req_899abb243edc4c8196f97c40b0e27d2c"", ""execution_api"": ""live""}]",1,,0.85,0.85,0.85,1,0,762,201,1,yes,Product,,gpt-4o-mini-2024-07-18,0.0,12000,300,b3da0efcb33025a739a784324b844af10ebe8a35
battery.kb.logic.00723,LINC,logic,battery,Is integer a Datatype?,,s1,1,"[{""source"": ""LINC"", ""text"": ""Premises: \n1. Known XML Schema datatypes include integer, nonPositiveInteger, unsignedLong, dateTime, and dateTimeStamp.\n2. integer is listed as one of the Known XML Schema datatypes.\n\nGoal: Is integer a Datatype?\n\nReasoning: \n- From the premises, it is stated that integer is included in the list of Known XML Schema datatypes.\n- Therefore, it follows that integer qualifies as a Datatype.\n\nFinal: yes"", ""request_id"": ""req_8edf992232cb41a982736a46aec8e96b"", ""execution_api"": ""live""}]",1,,0.85,0.85,0.85,1,0,521,94,1,yes,Datatype,,gpt-4o-mini-2024-07-18,0.0,12000,300,b3da0efcb33025a739a784324b844af10ebe8a35
battery.kb.logic.00724,LINC,logic,battery,Is LiCell-066 a Product?,,s1,1,"[{""source"": ""LINC"", ""text"": ""Premises: \n1. ext:batt_066 a ext:LithiumIonBattery.\n2. ext:LithiumIonBattery rdfs:subClassOf ext:RechargeableBattery.\n3. ext:RechargeableBattery rdfs:subClassOf ext:Battery.\n4. ext:Battery rdfs:subClassOf ext:Product.\n5. ext:batt_066 rdfs:label \""LiCell-066\"".\n\nGoal: Is LiCell-066 a Product?\n\nReasoning: \n- From premise 1, we know that LiCell-066 is a Lithium-ion Battery.\n- From premise 2, we see that Lithium-ion Battery is a subclass of Rechargeable Battery.\n- From premise 3, Rechargeable Battery is a subclass of Battery.\n- From premise 4, Battery is a subclass of Product.\n- Therefore, since LiCell-066 is a Lithium-ion Battery, it is also a Rechargeable Battery, a Battery, and ultimately a Product.\n\nFinal: yes"", ""request_id"": ""req_fecca4970b5e4bfcb8950be2b7d3a816"", ""execution_api"": ""live""}]",1,,0.85,0.85,0.85,1,0,764,202,1,yes,Product,,gpt-4o-mini-2024-07-18,0.0,12000,300,b3da0efcb33025a739a784324b844af10ebe8a35
battery.kb.logic.00725,LINC,logic,battery,Is LiCell-113 a Product?,,s1,1,"[{""source"": ""LINC"", ""text"": ""Premises: \n1. ext:batt_113 a ext:LithiumIonBattery.\n2. ext:LithiumIonBattery rdfs:subClassOf ext:RechargeableBattery.\n3. ext:RechargeableBattery rdfs:subClassOf ext:Battery.\n4. ext:Battery rdfs:subClassOf ext:Product.\n5. ext:batt_113 rdfs:label \""LiCell-113\"".\n\nGoal: Is LiCell-113 a Product?\n\nReasoning: \n- From premise 1, we know that LiCell-113 is a Lithium-ion Battery.\n- From premise 2, we see that Lithium-ion Battery is a subclass of Rechargeable Battery.\n- From premise 3, Rechargeable Battery is a subclass of Battery.\n- From premise 4, Battery is a subclass of Product.\n- Therefore, since LiCell-113 is a Lithium-ion Battery, it is also a Rechargeable Battery, a Battery, and ultimately a Product.\n\nFinal: yes"", ""request_id"": ""req_ece1bccdbafd4efda2bf6c497014129e"", ""execution_api"": ""live""}]",1,,0.85,0.85,0.85,1,0,769,202,1,yes,Product,,gpt-4o-mini-2024-07-18,0.0,12000,300,b3da0efcb33025a739a784324b844af10ebe8a35
battery.kb.logic.00726,LINC,logic,battery,Is LiCell-115 a Battery?,,s1,1,"[{""source"": ""LINC"", ""text"": ""Premises: \n1. ProductA component is Battery1.\n2. ext:batt_115 a ext:LithiumIonBattery.\n3. ext:LithiumIonBattery rdfs:subClassOf ext:RechargeableBattery.\n4. ext:RechargeableBattery rdfs:subClassOf ext:Battery.\n\nGoal: Is LiCell-115 a Battery?\n\nReasoning:\n- From premise 2, we know that LiCell-115 is a Lithium-Ion Battery.\n- From premise 3, we know that all Lithium-Ion Batteries are subclasses of Rechargeable Batteries.\n- From premise 4, we know that all Rechargeable Batteries are subclasses of Batteries.\n- Therefore, since LiCell-115 is a Lithium-Ion Battery, it must also be a Battery.\n\nFinal: yes"", ""request_id"": ""req_96d53e6aa544494ba9d6a48b93068700"", ""execution_api"": ""live""}]",1,,0.85,0.85,0.85,1,0,783,162,1,yes,Battery,,gpt-4o-mini-2024-07-18,0.0,12000,300,b3da0efcb33025a739a784324b844af10ebe8a35
battery.kb.logic.00727,LINC,logic,battery,Is LiCell-075 a Battery?,,s1,1,"[{""source"": ""LINC"", ""text"": ""Premises: \n1. ProductA component is Battery1.\n2. ext:batt_075 a ext:LithiumIonBattery.\n3. ext:LithiumIonBattery rdfs:subClassOf ext:RechargeableBattery.\n4. ext:RechargeableBattery rdfs:subClassOf ext:Battery.\n\nGoal: Is LiCell-075 a Battery?\n\nReasoning: \n- From premise 2, we know that LiCell-075 is a Lithium-ion Battery.\n- From premise 3, we know that all Lithium-ion Batteries are subclasses of Rechargeable Batteries.\n- From premise 4, we know that all Rechargeable Batteries are subclasses of Batteries.\n- Therefore, since LiCell-075 is a Lithium-ion Battery, it must also be a Battery.\n\nFinal: yes"", ""request_id"": ""req_f3024150be01490987973a40f3fef1e6"", ""execution_api"": ""live""}]",1,,0.85,0.85,0.85,1,0,784,160,1,yes,Battery,,gpt-4o-mini-2024-07-18,0.0,12000,300,b3da0efcb33025a739a784324b844af10ebe8a35
battery.kb.logic.00728,LINC,logic,battery,Is LiCell-015 a Rechargeable Battery?,,s1,1,"[{""source"": ""LINC"", ""text"": ""Premises: \n1. ext:batt_015 a ext:LithiumIonBattery.\n2. ext:LithiumIonBattery rdfs:subClassOf ext:RechargeableBattery.\n\nGoal: Is LiCell-015 a Rechargeable Battery?\n\nReasoning: \n- From premise 1, we know that LiCell-015 (which is represented by ext:batt_015) is a Lithium-ion Battery.\n- From premise 2, we know that Lithium-ion Batteries are a subclass of Rechargeable Batteries.\n- Therefore, since LiCell-015 is a Lithium-ion Battery, it must also be a Rechargeable Battery.\n\nFinal: yes"", ""request_id"": ""req_2f025c9536ec4f6b93a714f828b326fd"", ""execution_api"": ""live""}]",1,,0.85,0.85,0.85,1,0,783,131,1,yes,Rechargeable Battery,,gpt-4o-mini-2024-07-18,0.0,12000,300,b3da0efcb33025a739a784324b844af10ebe8a35
battery.kb.logic.00729,LINC,logic,battery,Is 2200 mAh a Thing?,,s1,1,"[{""source"": ""LINC"", ""text"": ""Premises: \n1. ext:cap_004 a ext:Capacity .\n2. ext:cap_004 rdfs:label \""2200 mAh\"" .\n\nGoal: Is \""2200 mAh\"" a Thing?\n\nReasoning: \n- The first premise states that ext:cap_004 is an instance of ext:Capacity.\n- The second premise provides a label for ext:cap_004, which is \""2200 mAh\"".\n- Since \""2200 mAh\"" is a label for an instance of a class (Capacity), it can be considered a \""Thing\"" in the context of the ontology.\n\nFinal: yes"", ""request_id"": ""req_144e739d6d3f493d8f66ed59e09026cb"", ""execution_api"": ""live""}]",1,,0.85,0.85,0.85,1,0,787,129,1,yes,Thing,,gpt-4o-mini-2024-07-18,0.0,12000,300,b3da0efcb33025a739a784324b844af10ebe8a35
