id,mode,type,domain,query,product,session,success,steps,correct,latency_ms,confidence,confidence_raw,confidence_cal,cost_retrieval_calls,cost_rule_checks,cost_tokens_in,cost_tokens_out,n_steps,answer,expected_contains,cost_usd_running,model,temperature,max_context_chars,max_output_tokens,harness_commit
battery.kb.logic.00720,GPT4O_LONGCTX,logic,battery,Is LiCell-014 a Product?,,s1,1,"[{""source"": ""GPT4O_LONGCTX"", ""text"": ""yes"", ""request_id"": ""req_b4123c50650a44a5b8cb6e147ec8c9f1"", ""execution_api"": ""live""}]",1,,0.85,0.85,0.85,1,0,708,1,1,yes,Product,,gpt-4o-mini-2024-07-18,0.0,12000,200,b3da0efcb33025a739a784324b844af10ebe8a35
battery.kb.logic.00721,GPT4O_LONGCTX,logic,battery,Is LiCell-013 a Product?,,s1,1,"[{""source"": ""GPT4O_LONGCTX"", ""text"": ""yes"", ""request_id"": ""req_3de37da260464eab96787cda0119101c"", ""execution_api"": ""live""}]",1,,0.85,0.85,0.85,1,0,711,1,1,yes,Product,,gpt-4o-mini-2024-07-18,0.0,12000,200,b3da0efcb33025a739a784324b844af10ebe8a35
battery.kb.logic.00722,GPT4O_LONGCTX,logic,battery,Is LiCell-038 a Product?,,s1,1,"[{""source"": ""GPT4O_LONGCTX"", ""text"": ""yes"", ""request_id"": ""req_3343638d8d7b49c088ae0dad34002685"", ""execution_api"": ""live""}]",1,,0.85,0.85,0.85,1,0,706,1,1,yes,Product,,gpt-4o-mini-2024-07-18,0.0,12000,200,b3da0efcb33025a739a784324b844af10ebe8a35
battery.kb.logic.00723,GPT4O_LONGCTX,logic,battery,Is integer a Datatype?,,s1,1,"[{""source"": ""GPT4O_LONGCTX"", ""text"": ""yes"", ""request_id"": ""req_1e2ceef825d3476a84cdbeb650437604"", ""execution_api"": ""live""}]",1,,0.85,0.85,0.85,1,0,465,1,1,yes,Datatype,,gpt-4o-mini-2024-07-18,0.0,12000,200,b3da0efcb33025a739a784324b844af10ebe8a35
battery.kb.logic.00724,GPT4O_LONGCTX,logic,battery,Is LiCell-066 a Product?,,s1,1,"[{""source"": ""GPT4O_LONGCTX"", ""text"": ""yes"", ""request_id"": ""req_ae88c6e156f24b75b8920da1ae99a328"", ""execution_api"": ""live""}]",1,,0.85,0.85,0.85,1,0,708,1,1,yes,Product,,gpt-4o-mini-2024-07-18,0.0,12000,200,b3da0efcb33025a739a784324b844af10ebe8a35
battery.kb.logic.00725,GPT4O_LONGCTX,logic,battery,Is LiCell-113 a Product?,,s1,1,"[{""source"": ""GPT4O_LONGCTX"", ""text"": ""yes"", ""request_id"": ""req_f9efd83c40b4447b9a01cc55698edf6a"", ""execution_api"": ""live""}]",1,,0.85,0.85,0.85,1,0,713,1,1,yes,Product,,gpt-4o-mini-2024-07-18,0.0,12000,200,b3da0efcb33025a739a784324b844af10ebe8a35
battery.kb.logic.00726,GPT4O_LONGCTX,logic,battery,Is LiCell-115 a Battery?,,s1,1,"[{""source"": ""GPT4O_LONGCTX"", ""text"": ""yes"", ""request_id"": ""req_d3fef4cb6a2e49119c50de1661660278"", ""execution_api"": ""live""}]",1,,0.85,0.85,0.85,1,0,727,1,1,yes,Battery,,gpt-4o-mini-2024-07-18,0.0,12000,200,b3da0efcb33025a739a784324b844af10ebe8a35
battery.kb.logic.00727,GPT4O_LONGCTX,logic,battery,Is LiCell-075 a Battery?,,s1,1,"[{""source"": ""GPT4O_LONGCTX"", ""text"": ""yes"", ""request_id"": ""req_4450f6858d2942e68ca24f2c37b61528"", ""execution_api"": ""live""}]",1,,0.85,0.85,0.85,1,0,728,1,1,yes,Battery,,gpt-4o-mini-2024-07-18,0.0,12000,200,b3da0efcb33025a739a784324b844af10ebe8a35
battery.kb.logic.00728,GPT4O_LONGCTX,logic,battery,Is LiCell-015 a Rechargeable Battery?,,s1,1,"[{""source"": ""GPT4O_LONGCTX"", ""text"": ""yes"", ""request_id"": ""req_2b89fe853f1d49aca5d1300315a7be44"", ""execution_api"": ""live""}]",1,,0.85,0.85,0.85,1,0,727,1,1,yes,Rechargeable Battery,,gpt-4o-mini-2024-07-18,0.0,12000,200,b3da0efcb33025a739a784324b844af10ebe8a35
battery.kb.logic.00729,GPT4O_LONGCTX,logic,battery,Is 2200 mAh a Thing?,,s1,0,"[{""source"": ""GPT4O_LONGCTX"", ""text"": ""no"", ""request_id"": ""req_5833261ced0547369860cb8eaaac4c7b"", ""execution_api"": ""live""}]",0,,0.45,0.45,0.45,1,0,731,1,1,no,Thing,,gpt-4o-mini-2024-07-18,0.0,12000,200,b3da0efcb33025a739a784324b844af10ebe8a35
battery.kb.logic.00730,GPT4O_LONGCTX,logic,battery,Is LiCell-006 a Rechargeable Battery?,,s1,1,"[{""source"": ""GPT4O_LONGCTX"", ""text"": ""yes"", ""request_id"": ""req_3bb8480fe101481ba98a798ebc23277f"", ""execution_api"": ""live""}]",1,,0.85,0.85,0.85,1,0,732,1,1,yes,Rechargeable Battery,,gpt-4o-mini-2024-07-18,0.0,12000,200,b3da0efcb33025a739a784324b844af10ebe8a35
battery.kb.logic.00731,GPT4O_LONGCTX,logic,battery,Is VoltMax a Thing?,,s1,1,"[{""source"": ""GPT4O_LONGCTX"", ""text"": ""yes"", ""request_id"": ""req_a647ead0e8a749789d5082c460f8bbf2"", ""execution_api"": ""live""}]",1,,0.85,0.85,0.85,1,0,1762,1,1,yes,Thing,,gpt-4o-mini-2024-07-18,0.0,12000,200,b3da0efcb33025a739a784324b844af10ebe8a35
battery.kb.logic.00732,GPT4O_LONGCTX,logic,battery,Is nonPositiveInteger a Datatype?,,s1,1,"[{""source"": ""GPT4O_LONGCTX"", ""text"": ""yes"", ""request_id"": ""req_75721b5d82a9444e9c2a9bb309e1af78"", ""execution_api"": ""live""}]",1,,0.85,0.85,0.85,1,0,467,1,1,yes,Datatype,,gpt-4o-mini-2024-07-18,0.0,12000,200,b3da0efcb33025a739a784324b844af10ebe8a35
battery.kb.logic.00733,GPT4O_LONGCTX,logic,battery,Is LiCell-147 a Thing?,,s1,1,"[{""source"": ""GPT4O_LONGCTX"", ""text"": ""yes"", ""request_id"": ""req_4da73899ed6c423bbe1d31a35f550cf8"", ""execution_api"": ""live""}]",1,,0.85,0.85,0.85,1,0,706,1,1,yes,Thing,,gpt-4o-mini-2024-07-18,0.0,12000,200,b3da0efcb33025a739a784324b844af10ebe8a35
battery.kb.logic.00734,GPT4O_LONGCTX,logic,battery,Is LiCell-136 a Rechargeable Battery?,,s1,1,"[{""source"": ""GPT4O_LONGCTX"", ""text"": ""yes"", ""request_id"": ""req_fcbc62cf6ef7427aa39c22b332691b3c"", ""execution_api"": ""live""}]",1,,0.85,0.85,0.85,1,0,729,1,1,yes,Rechargeable Battery,,gpt-4o-mini-2024-07-18,0.0,12000,200,b3da0efcb33025a739a784324b844af10ebe8a35
battery.kb.logic.00735,GPT4O_LONGCTX,logic,battery,Is LiCell-056 a Thing?,,s1,1,"[{""source"": ""GPT4O_LONGCTX"", ""text"": ""yes"", ""request_id"": ""req_93f0e9ceaa754bb2bbeda73294e51458"", ""execution_api"": ""live""}]",1,,0.85,0.85,0.85,1,0,708,1,1,yes,Thing,,gpt-4o-mini-2024-07-18,0.0,12000,200,b3da0efcb33025a739a784324b844af10ebe8a35
battery.kb.logic.00736,GPT4O_LONGCTX,logic,battery,Is LiCell-036 a Battery?,,s1,1,"[{""source"": ""GPT4O_LONGCTX"", ""text"": ""yes"", ""request_id"": ""req_e6f0ebf9e6b444259aeb8d16035e45dc"", ""execution_api"": ""live""}]",1,,0.85,0.85,0.85,1,0,729,1,1,yes,Battery,,gpt-4o-mini-2024-07-18,0.0,12000,200,b3da0efcb33025a739a784324b844af10ebe8a35
battery.kb.logic.00737,GPT4O_LONGCTX,logic,battery,Is LiCell-036 a Thing?,,s1,1,"[{""source"": ""GPT4O_LONGCTX"", ""text"": ""yes"", ""request_id"": ""req_c67e2b2621db43e492bf45603aeeadd3"", ""execution_api"": ""live""}]",1,,0.85,0.85,0.85,1,0,712,1,1,yes,Thing,,gpt-4o-mini-2024-07-18,0.0,12000,200,b3da0efcb33025a739a784324b844af10ebe8a35
battery.kb.logic.00738,GPT4O_LONGCTX,logic,battery,Is LiCell-101 a Thing?,,s1,1,"[{""source"": ""GPT4O_LONGCTX"", ""text"": ""yes"", ""request_id"": ""req_11b0eb275c1e4a38a34f48a75b4edf5f"", ""execution_api"": ""live""}]",1,,0.85,0.85,0.85,1,0,712,1,1,yes,Thing,,gpt-4o-mini-2024-07-18,0.0,12000,200,b3da0efcb33025a739a784324b844af10ebe8a35
battery.kb.logic.00739,GPT4O_LONGCTX,logic,battery,Is LiCell-085 a Thing?,,s1,1,"[{""source"": ""GPT4O_LONGCTX"", ""text"": ""yes"", ""request_id"": ""req_7bb477ee88e047159c936d24178c7b7b"", ""execution_api"": ""live""}]",1,,0.85,0.85,0.85,1,0,708,1,1,yes,Thing,,gpt-4o-mini-2024-07-18,0.0,12000,200,b3da0efcb33025a739a784324b844af10ebe8a35
battery.kb.logic.00740,GPT4O_LONGCTX,logic,battery,Is LiCell-015 a Battery?,,s1,1,"[{""source"": ""GPT4O_LONGCTX"", ""text"": ""yes"", ""request_id"": ""req_0e9a30dfc0ac4a0495dc11d9b8456557"", ""execution_api"": ""live""}]",1,,0.85,0.85,0.85,1,0,725,1,1,yes,Battery,,gpt-4o-mini-2024-07-18,0.0,12000,200,b3da0efcb33025a739a784324b844af10ebe8a35
battery.kb.logic.00741,GPT4O_LONGCTX,logic,battery,Is LiCell-018 a Battery?,,s1,1,"[{""source"": ""GPT4O_LONGCTX"", ""text"": ""yes"", ""request_id"": ""req_4a0ac7d5bf1b4e0eb6922c8aaeb84e7e"", ""execution_api"": ""live""}]",1,,0.85,0.85,0.85,1,0,727,1,1,yes,Battery,,gpt-4o-mini-2024-07-18,0.0,12000,200,b3da0efcb33025a739a784324b844af10ebe8a35
battery.kb.logic.00742,GPT4O_LONGCTX,logic,battery,Is LiCell-063 a Battery?,,s1,1,"[{""source"": ""GPT4O_LONGCTX"", ""text"": ""yes"", ""request_id"": ""req_8e3405dab8a24ce4ba598d3bb4ed4e75"", ""execution_api"": ""live""}]",1,,0.85,0.85,0.85,1,0,727,1,1,yes,Battery,,gpt-4o-mini-2024-07-18,0.0,12000,200,b3da0efcb33025a739a784324b844af10ebe8a35
battery.kb.logic.00743,GPT4O_LONGCTX,logic,battery,Is LiCell-132 a Thing?,,s1,1,"[{""source"": ""GPT4O_LONGCTX"", ""text"": ""yes"", ""request_id"": ""req_a4a9ac78295248c9a357668c152592cd"", ""execution_api"": ""live""}]",1,,0.85,0.85,0.85,1,0,711,1,1,yes,Thing,,gpt-4o-mini-2024-07-18,0.0,12000,200,b3da0efcb33025a739a784324b844af10ebe8a35
battery.kb.logic.00744,GPT4O_LONGCTX,logic,battery,Is LiCell-078 a Product?,,s1,1,"[{""source"": ""GPT4O_LONGCTX"", ""text"": ""yes"", ""request_id"": ""req_ca0be668470d4b9ebf232aa6f817bc41"", ""execution_api"": ""live""}]",1,,0.85,0.85,0.85,1,0,710,1,1,yes,Product,,gpt-4o-mini-2024-07-18,0.0,12000,200,b3da0efcb33025a739a784324b844af10ebe8a35
battery.kb.logic.00745,GPT4O_LONGCTX,logic,battery,Is LiCell-096 a Product?,,s1,1,"[{""source"": ""GPT4O_LONGCTX"", ""text"": ""yes"", ""request_id"": ""req_e33076622cfb4892a3a2b5315a15b965"", ""execution_api"": ""live""}]",1,,0.85,0.85,0.85,1,0,706,1,1,yes,Product,,gpt-4o-mini-2024-07-18,0.0,12000,200,b3da0efcb33025a739a784324b844af10ebe8a35
battery.kb.logic.00746,GPT4O_LONGCTX,logic,battery,Is LiCell-108 a Battery?,,s1,1,"[{""source"": ""GPT4O_LONGCTX"", ""text"": ""yes"", ""request_id"": ""req_3cf47125309d4c55abbf2787ce4fc3b4"", ""execution_api"": ""live""}]",1,,0.85,0.85,0.85,1,0,725,1,1,yes,Battery,,gpt-4o-mini-2024-07-18,0.0,12000,200,b3da0efcb33025a739a784324b844af10ebe8a35
battery.kb.logic.00747,GPT4O_LONGCTX,logic,battery,Is LiCell-061 a Thing?,,s1,1,"[{""source"": ""GPT4O_LONGCTX"", ""text"": ""yes"", ""request_id"": ""req_e47f1786a4e34cdaad34eab6f7ba2700"", ""execution_api"": ""live""}]",1,,0.85,0.85,0.85,1,0,710,1,1,yes,Thing,,gpt-4o-mini-2024-07-18,0.0,12000,200,b3da0efcb33025a739a784324b844af10ebe8a35
battery.kb.logic.00748,GPT4O_LONGCTX,logic,battery,Is normalizedString a Datatype?,,s1,0,"[{""source"": ""GPT4O_LONGCTX"", ""text"": ""no"", ""request_id"": ""req_52c183fdc89640139760aac80fdb0202"", ""execution_api"": ""live""}]",0,,0.45,0.45,0.45,1,0,466,1,1,no,Datatype,,gpt-4o-mini-2024-07-18,0.0,12000,200,b3da0efcb33025a739a784324b844af10ebe8a35
battery.kb.logic.00749,GPT4O_LONGCTX,logic,battery,Is LiCell-051 a Rechargeable Battery?,,s1,1,"[{""source"": ""GPT4O_LONGCTX"", ""text"": ""yes"", ""request_id"": ""req_b9450c12484f4f6ea69ad9b31e40d900"", ""execution_api"": ""live""}]",1,,0.85,0.85,0.85,1,0,727,1,1,yes,Rechargeable Battery,,gpt-4o-mini-2024-07-18,0.0,12000,200,b3da0efcb33025a739a784324b844af10ebe8a35
battery.kb.logic.00750,GPT4O_LONGCTX,logic,battery,Is LiCell-047 a Product?,,s1,1,"[{""source"": ""GPT4O_LONGCTX"", ""text"": ""yes"", ""request_id"": ""req_76f808acfa9944b9abbfdafd3de38ea1"", ""execution_api"": ""live""}]",1,,0.85,0.85,0.85,1,0,712,1,1,yes,Product,,gpt-4o-mini-2024-07-18,0.0,12000,200,b3da0efcb33025a739a784324b844af10ebe8a35
battery.kb.logic.00751,GPT4O_LONGCTX,logic,battery,Is LiCell-142 a Battery?,,s1,1,"[{""source"": ""GPT4O_LONGCTX"", ""text"": ""yes"", ""request_id"": ""req_9f3e3473522c4552a52da48e09710d18"", ""execution_api"": ""live""}]",1,,0.85,0.85,0.85,1,0,727,1,1,yes,Battery,,gpt-4o-mini-2024-07-18,0.0,12000,200,b3da0efcb33025a739a784324b844af10ebe8a35
battery.kb.logic.00752,GPT4O_LONGCTX,logic,battery,Is LiCell-001 a Product?,,s1,1,"[{""source"": ""GPT4O_LONGCTX"", ""text"": ""yes"", ""request_id"": ""req_349642aeed4e418d8e3a5a700352c14d"", ""execution_api"": ""live""}]",1,,0.85,0.85,0.85,1,0,710,1,1,yes,Product,,gpt-4o-mini-2024-07-18,0.0,12000,200,b3da0efcb33025a739a784324b844af10ebe8a35
battery.kb.logic.00753,GPT4O_LONGCTX,logic,battery,Is LiCell-072 a Product?,,s1,1,"[{""source"": ""GPT4O_LONGCTX"", ""text"": ""yes"", ""request_id"": ""req_f0126231021b4f61a59fea4df05024a6"", ""execution_api"": ""live""}]",1,,0.85,0.85,0.85,1,0,714,1,1,yes,Product,,gpt-4o-mini-2024-07-18,0.0,12000,200,b3da0efcb33025a739a784324b844af10ebe8a35
battery.kb.logic.00754,GPT4O_LONGCTX,logic,battery,Is LiCell-024 a Battery?,,s1,1,"[{""source"": ""GPT4O_LONGCTX"", ""text"": ""yes"", ""request_id"": ""req_039acb8dee3b4ab6adeb21ee86674d1d"", ""execution_api"": ""live""}]",1,,0.85,0.85,0.85,1,0,731,1,1,yes,Battery,,gpt-4o-mini-2024-07-18,0.0,12000,200,b3da0efcb33025a739a784324b844af10ebe8a35
