id,mode,domain,subtype,product,session,query,expected_groups,success,llm_used,answer,tokens_in,tokens_out,answer_trace,model,temperature,max_output_tokens,harness_commit
arch-v2-000001,GPT4O_LONGCTX,battery,atomic_verified,LiCell-039,arch_v2_s000001,Is LiCell-039 a Thing?,"[[""Thing""]]",1,1,"Yes, LiCell-039 is a Thing.",800,10,"{""raw_answer"": ""Yes, LiCell-039 is a Thing."", ""request_id"": ""req_9cdbef2087de4d8bb2191d12e58889df"", ""execution_api"": ""live""}",gpt-4o-mini-2024-07-18,0.0,220,b3da0efcb33025a739a784324b844af10ebe8a35
arch-v2-000002,GPT4O_LONGCTX,battery,atomic_verified,battery_seed_0014,arch_v2_s000002,"According to battery_seed_0014, what is the Company?","[[""Saft""]]",1,1,Company: Saft (FR),1607,7,"{""raw_answer"": ""Company: Saft (FR)"", ""request_id"": ""req_34120f971e0b407698f15e21f7dd5db0"", ""execution_api"": ""live""}",gpt-4o-mini-2024-07-18,0.0,220,b3da0efcb33025a739a784324b844af10ebe8a35
arch-v2-000003,GPT4O_LONGCTX,battery,atomic_verified,LiCell-124,arch_v2_s000003,What is the capacity of LiCell-124?,"[[""1800 mAh""]]",1,1,The capacity of LiCell-124 is 1800 mAh.,806,14,"{""raw_answer"": ""The capacity of LiCell-124 is 1800 mAh."", ""request_id"": ""req_bd6eba70d6a34e4b95f3bb124cb00cac"", ""execution_api"": ""live""}",gpt-4o-mini-2024-07-18,0.0,220,b3da0efcb33025a739a784324b844af10ebe8a35
arch-v2-000004,GPT4O_LONGCTX,battery,atomic_verified,LiCell-141,arch_v2_s000004,Is LiCell-141 a Battery?,"[[""Battery""]]",1,1,"Yes, LiCell-141 is a Battery.",801,10,"{""raw_answer"": ""Yes, LiCell-141 is a Battery."", ""request_id"": ""req_bd76d6c7837f4c728c3a08085d23eae5"", ""execution_api"": ""live""}",gpt-4o-mini-2024-07-18,0.0,220,b3da0efcb33025a739a784324b844af10ebe8a35
arch-v2-000005,GPT4O_LONGCTX,battery,atomic_verified,battery_seed_0020,arch_v2_s000005,"According to battery_seed_0020, what is the Graphite Electrolyte?","[[""LiPF6""]]",0,1,INSUFFICIENT EVIDENCE.,1478,8,"{""raw_answer"": ""INSUFFICIENT EVIDENCE."", ""request_id"": ""req_aa1585f73e054933ab971fc132c88110"", ""execution_api"": ""live""}",gpt-4o-mini-2024-07-18,0.0,220,b3da0efcb33025a739a784324b844af10ebe8a35
arch-v2-000006,GPT4O_LONGCTX,battery,atomic_verified,LiCell-083,arch_v2_s000006,What is the capacity of LiCell-083?,"[[""3000 mAh""]]",1,1,The capacity of LiCell-083 is 3000 mAh.,804,14,"{""raw_answer"": ""The capacity of LiCell-083 is 3000 mAh."", ""request_id"": ""req_6eff51febb9040699dd658967429f898"", ""execution_api"": ""live""}",gpt-4o-mini-2024-07-18,0.0,220,b3da0efcb33025a739a784324b844af10ebe8a35
arch-v2-000007,GPT4O_LONGCTX,battery,atomic_verified,LiCell-134,arch_v2_s000007,Is LiCell-134 a Rechargeable Battery?,"[[""Rechargeable Battery""]]",1,1,"Yes, LiCell-134 is a Rechargeable Battery.",805,12,"{""raw_answer"": ""Yes, LiCell-134 is a Rechargeable Battery."", ""request_id"": ""req_dd2c961db5114736b186c839246cd7b9"", ""execution_api"": ""live""}",gpt-4o-mini-2024-07-18,0.0,220,b3da0efcb33025a739a784324b844af10ebe8a35
arch-v2-000008,GPT4O_LONGCTX,battery,atomic_verified,battery_seed_0003,arch_v2_s000008,"According to battery_seed_0003, what is the BMS update policy?","[[""security updates during product lifecycle""]]",1,1,The BMS update policy is: security updates during product lifecycle (define duration).,1538,16,"{""raw_answer"": ""The BMS update policy is: security updates during product lifecycle (define duration)."", ""request_id"": ""req_abb9008396f04b6f9303d1834535dce4"", ""execution_api"": ""live""}",gpt-4o-mini-2024-07-18,0.0,220,b3da0efcb33025a739a784324b844af10ebe8a35
arch-v2-000009,GPT4O_LONGCTX,battery,atomic_verified,LiCell-019,arch_v2_s000009,What is the compatible accessory of LiCell-019?,"[[""QuickMount""]]",1,1,The compatible accessory of LiCell-019 is QuickMount.,801,12,"{""raw_answer"": ""The compatible accessory of LiCell-019 is QuickMount."", ""request_id"": ""req_25b37c5d8ded41a5afb2b4f441cb757c"", ""execution_api"": ""live""}",gpt-4o-mini-2024-07-18,0.0,220,b3da0efcb33025a739a784324b844af10ebe8a35
arch-v2-000010,GPT4O_LONGCTX,battery,atomic_verified,LiCell-026,arch_v2_s000010,Is LiCell-026 a Thing?,"[[""Thing""]]",1,1,"Yes, LiCell-026 is a Thing.",801,10,"{""raw_answer"": ""Yes, LiCell-026 is a Thing."", ""request_id"": ""req_3ce6dc3356de4ca189c6cbbcf78ad27b"", ""execution_api"": ""live""}",gpt-4o-mini-2024-07-18,0.0,220,b3da0efcb33025a739a784324b844af10ebe8a35
arch-v2-000011,GPT4O_LONGCTX,battery,atomic_verified,battery_seed_0003,arch_v2_s000011,"According to battery_seed_0003, what is the Electrolyte?","[[""LiPF6 in organic carbonate (Li‑ion) / acid for lead‑acid""]]",1,1,Electrolyte: LiPF6 in organic carbonate (Li‑ion) / acid for lead‑acid,1630,22,"{""raw_answer"": ""Electrolyte: LiPF6 in organic carbonate (Li\u2011ion) / acid for lead\u2011acid"", ""request_id"": ""req_463d6b3e1950443fbb2207797976f700"", ""execution_api"": ""live""}",gpt-4o-mini-2024-07-18,0.0,220,b3da0efcb33025a739a784324b844af10ebe8a35
arch-v2-000012,GPT4O_LONGCTX,battery,atomic_verified,LiCell-125,arch_v2_s000012,What is the compatible accessory of LiCell-125?,"[[""BMS-Guard""]]",1,1,The compatible accessory of LiCell-125 is BMS-Guard.,805,14,"{""raw_answer"": ""The compatible accessory of LiCell-125 is BMS-Guard."", ""request_id"": ""req_ff15a846c81a4353b60475032945d92e"", ""execution_api"": ""live""}",gpt-4o-mini-2024-07-18,0.0,220,b3da0efcb33025a739a784324b844af10ebe8a35
arch-v2-000013,GPT4O_LONGCTX,battery,atomic_verified,LiCell-141,arch_v2_s000013,Is LiCell-141 a Thing?,"[[""Thing""]]",1,1,"Yes, LiCell-141 is a Thing.",801,10,"{""raw_answer"": ""Yes, LiCell-141 is a Thing."", ""request_id"": ""req_bfaa7d3b1b0f48ada0a7932975ee12d5"", ""execution_api"": ""live""}",gpt-4o-mini-2024-07-18,0.0,220,b3da0efcb33025a739a784324b844af10ebe8a35
arch-v2-000014,GPT4O_LONGCTX,battery,atomic_verified,battery_seed_0020,arch_v2_s000014,"According to battery_seed_0020, what is the recyclable fractions?","[[""Al/Cu/Fe; black mass for hydrometallurgical recovery""]]",1,1,Recyclable fractions: Al/Cu/Fe; black mass for hydrometallurgical recovery.,1470,21,"{""raw_answer"": ""Recyclable fractions: Al/Cu/Fe; black mass for hydrometallurgical recovery."", ""request_id"": ""req_2cf865d598e344fcb8c5bbb2e1c7b8a9"", ""execution_api"": ""live""}",gpt-4o-mini-2024-07-18,0.0,220,b3da0efcb33025a739a784324b844af10ebe8a35
arch-v2-000015,GPT4O_LONGCTX,battery,atomic_verified,LiCell-124,arch_v2_s000015,What is the compatible accessory of LiCell-124?,"[[""QuickMount""]]",1,1,The compatible accessory of LiCell-124 is QuickMount.,804,12,"{""raw_answer"": ""The compatible accessory of LiCell-124 is QuickMount."", ""request_id"": ""req_4556ba50574d4daf9892cdb7f26599df"", ""execution_api"": ""live""}",gpt-4o-mini-2024-07-18,0.0,220,b3da0efcb33025a739a784324b844af10ebe8a35
arch-v2-000016,GPT4O_LONGCTX,battery,atomic_verified,LiCell-087,arch_v2_s000016,Is LiCell-087 a Product?,"[[""Product""]]",1,1,"Yes, LiCell-087 is a Product.",813,10,"{""raw_answer"": ""Yes, LiCell-087 is a Product."", ""request_id"": ""req_963661281b3c47a0998082ed5ca500b7"", ""execution_api"": ""live""}",gpt-4o-mini-2024-07-18,0.0,220,b3da0efcb33025a739a784324b844af10ebe8a35
arch-v2-000017,GPT4O_LONGCTX,battery,atomic_verified,battery_seed_0007,arch_v2_s000017,"According to battery_seed_0007, what is the Created?","[[""2025-09-01""]]",1,1,Created: 2025-09-01,1382,9,"{""raw_answer"": ""Created: 2025-09-01"", ""request_id"": ""req_341cb8a2003c425aa6c00d791287118f"", ""execution_api"": ""live""}",gpt-4o-mini-2024-07-18,0.0,220,b3da0efcb33025a739a784324b844af10ebe8a35
arch-v2-000018,GPT4O_LONGCTX,battery,atomic_verified,battery_seed_0035,arch_v2_s000018,"According to battery_seed_0035, what is the Spare parts availability target?","[[""5–10 years""]]",1,1,5–10 years (define contractually),2384,9,"{""raw_answer"": ""5\u201310 years (define contractually)"", ""request_id"": ""req_651e663acc624c5f976c6302e52b463a"", ""execution_api"": ""live""}",gpt-4o-mini-2024-07-18,0.0,220,b3da0efcb33025a739a784324b844af10ebe8a35
arch-v2-000019,GPT4O_LONGCTX,battery,atomic_verified,LiCell-104,arch_v2_s000019,Is LiCell-104 a Thing?,"[[""Thing""]]",1,1,"Yes, LiCell-104 is a Thing.",799,10,"{""raw_answer"": ""Yes, LiCell-104 is a Thing."", ""request_id"": ""req_80f53892552d4c528cedb41cfa7f87ed"", ""execution_api"": ""live""}",gpt-4o-mini-2024-07-18,0.0,220,b3da0efcb33025a739a784324b844af10ebe8a35
arch-v2-000020,GPT4O_LONGCTX,battery,atomic_verified,battery_seed_0007,arch_v2_s000020,"According to battery_seed_0007, what is the Last updated?","[[""2025-09-01""]]",1,1,Last updated: 2025-09-01,1407,10,"{""raw_answer"": ""Last updated: 2025-09-01"", ""request_id"": ""req_8c61525cd8d2417a9f47d8c3fc59497a"", ""execution_api"": ""live""}",gpt-4o-mini-2024-07-18,0.0,220,b3da0efcb33025a739a784324b844af10ebe8a35
arch-v2-000021,GPT4O_LONGCTX,battery,atomic_verified,LiCell-135,arch_v2_s000021,What is the compatible accessory of LiCell-135?,"[[""Case-Pro""]]",1,1,"The compatible accessory of LiCell-135 is ""Case-Pro"".",802,13,"{""raw_answer"": ""The compatible accessory of LiCell-135 is \""Case-Pro\""."", ""request_id"": ""req_1f48fc207e064d60803c8ad70df49527"", ""execution_api"": ""live""}",gpt-4o-mini-2024-07-18,0.0,220,b3da0efcb33025a739a784324b844af10ebe8a35
arch-v2-000022,GPT4O_LONGCTX,battery,atomic_verified,LiCell-149,arch_v2_s000022,Is LiCell-149 a Rechargeable Battery?,"[[""Rechargeable Battery""]]",1,1,"Yes, LiCell-149 is a Rechargeable Battery.",816,12,"{""raw_answer"": ""Yes, LiCell-149 is a Rechargeable Battery."", ""request_id"": ""req_a2f6fc8fbe544bf8bd9535bcea5763f6"", ""execution_api"": ""live""}",gpt-4o-mini-2024-07-18,0.0,220,b3da0efcb33025a739a784324b844af10ebe8a35
arch-v2-000023,GPT4O_LONGCTX,battery,atomic_verified,battery_seed_0003,arch_v2_s000023,"According to battery_seed_0003, what is the separator?","[[""polyolefin""]]",1,1,The separator is polyolefin.,1404,7,"{""raw_answer"": ""The separator is polyolefin."", ""request_id"": ""req_e4ee4cc3473440ecb96aed06567d9fcb"", ""execution_api"": ""live""}",gpt-4o-mini-2024-07-18,0.0,220,b3da0efcb33025a739a784324b844af10ebe8a35
arch-v2-000024,GPT4O_LONGCTX,battery,atomic_verified,LiCell-040,arch_v2_s000024,What is the manufacturer of LiCell-040?,"[[""Energen""]]",1,1,The manufacturer of LiCell-040 is Energen.,802,11,"{""raw_answer"": ""The manufacturer of LiCell-040 is Energen."", ""request_id"": ""req_abde8152640e4f58b0b117d7ab00b78d"", ""execution_api"": ""live""}",gpt-4o-mini-2024-07-18,0.0,220,b3da0efcb33025a739a784324b844af10ebe8a35
arch-v2-000025,GPT4O_LONGCTX,battery,atomic_verified,LiCell-004,arch_v2_s000025,Is LiCell-004 a Battery?,"[[""Battery""]]",1,1,"Yes, LiCell-004 is a Battery.",801,10,"{""raw_answer"": ""Yes, LiCell-004 is a Battery."", ""request_id"": ""req_123d7a7ae15747f69215ac1534babac7"", ""execution_api"": ""live""}",gpt-4o-mini-2024-07-18,0.0,220,b3da0efcb33025a739a784324b844af10ebe8a35
arch-v2-000026,GPT4O_LONGCTX,battery,atomic_verified,battery_seed_0037,arch_v2_s000026,"According to battery_seed_0037, what is the phase note?","[[""charge/discharge efficiency and grid intensity drive impacts""]]",1,1,Use‑phase note: charge/discharge efficiency and grid intensity drive impacts.,1793,15,"{""raw_answer"": ""Use\u2011phase note: charge/discharge efficiency and grid intensity drive impacts."", ""request_id"": ""req_7b9369dabb0e4993b0fcc03625d97e5e"", ""execution_api"": ""live""}",gpt-4o-mini-2024-07-18,0.0,220,b3da0efcb33025a739a784324b844af10ebe8a35
arch-v2-000027,GPT4O_LONGCTX,battery,atomic_verified,battery_seed_0014,arch_v2_s000027,"According to battery_seed_0014, what is the Model?","[[""Flex’ion‑style 48V‑100Ah LFP module""]]",1,1,Flex’ion‑style 48V‑100Ah LFP module (sample),3842,17,"{""raw_answer"": ""Flex\u2019ion\u2011style 48V\u2011100Ah LFP module (sample)"", ""request_id"": ""req_034614a5376a4d899fbd65f72e49e6bc"", ""execution_api"": ""live""}",gpt-4o-mini-2024-07-18,0.0,220,b3da0efcb33025a739a784324b844af10ebe8a35
arch-v2-000028,GPT4O_LONGCTX,battery,atomic_verified,LiCell-055,arch_v2_s000028,Is LiCell-055 a Product?,"[[""Product""]]",1,1,"Yes, LiCell-055 is a Product.",798,10,"{""raw_answer"": ""Yes, LiCell-055 is a Product."", ""request_id"": ""req_8239e972d8114fefb3786b75015dd05b"", ""execution_api"": ""live""}",gpt-4o-mini-2024-07-18,0.0,220,b3da0efcb33025a739a784324b844af10ebe8a35
arch-v2-000029,GPT4O_LONGCTX,battery,atomic_verified,battery_seed_0003,arch_v2_s000029,"According to battery_seed_0003, what is the Data?","[[""privacy and retention policies to be defined per contract""]]",1,1,Data: privacy and retention policies to be defined per contract.,1640,12,"{""raw_answer"": ""Data: privacy and retention policies to be defined per contract."", ""request_id"": ""req_fcd8de4ea0b74600baca9822e2458fc2"", ""execution_api"": ""live""}",gpt-4o-mini-2024-07-18,0.0,220,b3da0efcb33025a739a784324b844af10ebe8a35
arch-v2-000030,GPT4O_LONGCTX,battery,atomic_verified,LiCell-136,arch_v2_s000030,What is the voltage of LiCell-136?,"[[""24 V""]]",1,1,The voltage of LiCell-136 is 24 V.,802,12,"{""raw_answer"": ""The voltage of LiCell-136 is 24 V."", ""request_id"": ""req_21c81706213d4b09a4b45f69d04cc19d"", ""execution_api"": ""live""}",gpt-4o-mini-2024-07-18,0.0,220,b3da0efcb33025a739a784324b844af10ebe8a35
arch-v2-000031,GPT4O_LONGCTX,battery,atomic_verified,LiCell-043,arch_v2_s000031,Is LiCell-043 a Product?,"[[""Product""]]",1,1,"Yes, LiCell-043 is a Product.",813,10,"{""raw_answer"": ""Yes, LiCell-043 is a Product."", ""request_id"": ""req_4b1cdbefbf3c47f78c1161b296e15477"", ""execution_api"": ""live""}",gpt-4o-mini-2024-07-18,0.0,220,b3da0efcb33025a739a784324b844af10ebe8a35
arch-v2-000032,GPT4O_LONGCTX,battery,atomic_verified,battery_seed_0038,arch_v2_s000032,"According to battery_seed_0038, what is the Last updated?","[[""2025-09-01""]]",1,1,Last updated: 2025-09-01,1407,10,"{""raw_answer"": ""Last updated: 2025-09-01"", ""request_id"": ""req_7dd33f0911d74920b5ecbdb671f42e18"", ""execution_api"": ""live""}",gpt-4o-mini-2024-07-18,0.0,220,b3da0efcb33025a739a784324b844af10ebe8a35
