id,mode,type,domain,query,product,session,success,steps,correct,latency_ms,confidence,confidence_raw,confidence_cal,cost_retrieval_calls,cost_rule_checks,cost_tokens_in,cost_tokens_out,n_steps,answer,expected_contains,cost_usd_running,model,temperature,max_context_chars,max_output_tokens,harness_commit
battery.kb.logic.00720,LOGIC_LM,logic,battery,Is LiCell-014 a Product?,,s1,1,"[{""source"": ""LOGIC_LM"", ""text"": ""Kind: RULE  \nAnswer: yes"", ""request_id"": ""req_618c9e09eff947be8fc68ee2dd4e998f"", ""execution_api"": ""live""}]",1,,0.85,0.85,0.85,1,0,740,7,1,yes,Product,,gpt-4o-mini-2024-07-18,0.0,12000,200,b3da0efcb33025a739a784324b844af10ebe8a35
battery.kb.logic.00721,LOGIC_LM,logic,battery,Is LiCell-013 a Product?,,s1,1,"[{""source"": ""LOGIC_LM"", ""text"": ""Kind: RULE  \nAnswer: yes"", ""request_id"": ""req_0039b3bd221148f097b51a7400e10a83"", ""execution_api"": ""live""}]",1,,0.85,0.85,0.85,1,0,743,7,1,yes,Product,,gpt-4o-mini-2024-07-18,0.0,12000,200,b3da0efcb33025a739a784324b844af10ebe8a35
battery.kb.logic.00722,LOGIC_LM,logic,battery,Is LiCell-038 a Product?,,s1,1,"[{""source"": ""LOGIC_LM"", ""text"": ""Kind: RULE  \nAnswer: yes"", ""request_id"": ""req_dce69450dc2e472ba01cec824b925024"", ""execution_api"": ""live""}]",1,,0.85,0.85,0.85,1,0,738,7,1,yes,Product,,gpt-4o-mini-2024-07-18,0.0,12000,200,b3da0efcb33025a739a784324b844af10ebe8a35
battery.kb.logic.00723,LOGIC_LM,logic,battery,Is integer a Datatype?,,s1,1,"[{""source"": ""LOGIC_LM"", ""text"": ""Kind: RULE  \nAnswer: yes"", ""request_id"": ""req_3dfcfcd247d1407d8f671e56ce024f81"", ""execution_api"": ""live""}]",1,,0.85,0.85,0.85,1,0,497,7,1,yes,Datatype,,gpt-4o-mini-2024-07-18,0.0,12000,200,b3da0efcb33025a739a784324b844af10ebe8a35
battery.kb.logic.00724,LOGIC_LM,logic,battery,Is LiCell-066 a Product?,,s1,1,"[{""source"": ""LOGIC_LM"", ""text"": ""Kind: RULE  \nAnswer: yes"", ""request_id"": ""req_60106c1c743b48b2b273423c5758e2ad"", ""execution_api"": ""live""}]",1,,0.85,0.85,0.85,1,0,740,7,1,yes,Product,,gpt-4o-mini-2024-07-18,0.0,12000,200,b3da0efcb33025a739a784324b844af10ebe8a35
battery.kb.logic.00725,LOGIC_LM,logic,battery,Is LiCell-113 a Product?,,s1,1,"[{""source"": ""LOGIC_LM"", ""text"": ""Kind: RULE  \nAnswer: yes"", ""request_id"": ""req_7d3730de8bf04d95943c0d42f042a711"", ""execution_api"": ""live""}]",1,,0.85,0.85,0.85,1,0,745,7,1,yes,Product,,gpt-4o-mini-2024-07-18,0.0,12000,200,b3da0efcb33025a739a784324b844af10ebe8a35
battery.kb.logic.00726,LOGIC_LM,logic,battery,Is LiCell-115 a Battery?,,s1,1,"[{""source"": ""LOGIC_LM"", ""text"": ""Kind: RULE  \nAnswer: yes"", ""request_id"": ""req_f8fc2aa17a7b45588ba49f3883471db2"", ""execution_api"": ""live""}]",1,,0.85,0.85,0.85,1,0,759,7,1,yes,Battery,,gpt-4o-mini-2024-07-18,0.0,12000,200,b3da0efcb33025a739a784324b844af10ebe8a35
battery.kb.logic.00727,LOGIC_LM,logic,battery,Is LiCell-075 a Battery?,,s1,1,"[{""source"": ""LOGIC_LM"", ""text"": ""Kind: RULE  \nAnswer: yes"", ""request_id"": ""req_caaae0bf88be41b692e47f680a1515ca"", ""execution_api"": ""live""}]",1,,0.85,0.85,0.85,1,0,760,7,1,yes,Battery,,gpt-4o-mini-2024-07-18,0.0,12000,200,b3da0efcb33025a739a784324b844af10ebe8a35
battery.kb.logic.00728,LOGIC_LM,logic,battery,Is LiCell-015 a Rechargeable Battery?,,s1,1,"[{""source"": ""LOGIC_LM"", ""text"": ""Kind: RULE  \nAnswer: yes"", ""request_id"": ""req_734af0ee8d634e70b1491fcf588bb1a0"", ""execution_api"": ""live""}]",1,,0.85,0.85,0.85,1,0,759,7,1,yes,Rechargeable Battery,,gpt-4o-mini-2024-07-18,0.0,12000,200,b3da0efcb33025a739a784324b844af10ebe8a35
battery.kb.logic.00729,LOGIC_LM,logic,battery,Is 2200 mAh a Thing?,,s1,0,"[{""source"": ""LOGIC_LM"", ""text"": ""Kind: RULE  \nAnswer: no"", ""request_id"": ""req_4ebd87eb13274aaaacde19b53dfb3c5f"", ""execution_api"": ""live""}]",0,,0.45,0.45,0.45,1,0,763,7,1,no,Thing,,gpt-4o-mini-2024-07-18,0.0,12000,200,b3da0efcb33025a739a784324b844af10ebe8a35
battery.kb.logic.00730,LOGIC_LM,logic,battery,Is LiCell-006 a Rechargeable Battery?,,s1,1,"[{""source"": ""LOGIC_LM"", ""text"": ""Kind: RULE  \nAnswer: yes"", ""request_id"": ""req_707d69e7c46f4371a061663b54dbbca5"", ""execution_api"": ""live""}]",1,,0.85,0.85,0.85,1,0,764,7,1,yes,Rechargeable Battery,,gpt-4o-mini-2024-07-18,0.0,12000,200,b3da0efcb33025a739a784324b844af10ebe8a35
battery.kb.logic.00731,LOGIC_LM,logic,battery,Is VoltMax a Thing?,,s1,1,"[{""source"": ""LOGIC_LM"", ""text"": ""Kind: RULE  \nAnswer: yes"", ""request_id"": ""req_90ad03d1ddde4edb9fa7a3b832040607"", ""execution_api"": ""live""}]",1,,0.85,0.85,0.85,1,0,1794,7,1,yes,Thing,,gpt-4o-mini-2024-07-18,0.0,12000,200,b3da0efcb33025a739a784324b844af10ebe8a35
battery.kb.logic.00732,LOGIC_LM,logic,battery,Is nonPositiveInteger a Datatype?,,s1,1,"[{""source"": ""LOGIC_LM"", ""text"": ""Kind: RULE  \nAnswer: yes"", ""request_id"": ""req_b9c236915f75493599f0938ce972d9db"", ""execution_api"": ""live""}]",1,,0.85,0.85,0.85,1,0,499,7,1,yes,Datatype,,gpt-4o-mini-2024-07-18,0.0,12000,200,b3da0efcb33025a739a784324b844af10ebe8a35
battery.kb.logic.00733,LOGIC_LM,logic,battery,Is LiCell-147 a Thing?,,s1,1,"[{""source"": ""LOGIC_LM"", ""text"": ""Kind: RULE  \nAnswer: yes"", ""request_id"": ""req_1c99294365c14678b5aea7dedc7ed50d"", ""execution_api"": ""live""}]",1,,0.85,0.85,0.85,1,0,738,7,1,yes,Thing,,gpt-4o-mini-2024-07-18,0.0,12000,200,b3da0efcb33025a739a784324b844af10ebe8a35
battery.kb.logic.00734,LOGIC_LM,logic,battery,Is LiCell-136 a Rechargeable Battery?,,s1,1,"[{""source"": ""LOGIC_LM"", ""text"": ""Kind: RULE  \nAnswer: yes"", ""request_id"": ""req_dd17b8fade164acd9e7bffe5c6563e2a"", ""execution_api"": ""live""}]",1,,0.85,0.85,0.85,1,0,761,7,1,yes,Rechargeable Battery,,gpt-4o-mini-2024-07-18,0.0,12000,200,b3da0efcb33025a739a784324b844af10ebe8a35
battery.kb.logic.00735,LOGIC_LM,logic,battery,Is LiCell-056 a Thing?,,s1,1,"[{""source"": ""LOGIC_LM"", ""text"": ""Kind: RULE  \nAnswer: yes"", ""request_id"": ""req_cc722938e21b46ecaefce112c724eaab"", ""execution_api"": ""live""}]",1,,0.85,0.85,0.85,1,0,740,7,1,yes,Thing,,gpt-4o-mini-2024-07-18,0.0,12000,200,b3da0efcb33025a739a784324b844af10ebe8a35
battery.kb.logic.00736,LOGIC_LM,logic,battery,Is LiCell-036 a Battery?,,s1,1,"[{""source"": ""LOGIC_LM"", ""text"": ""Kind: RULE  \nAnswer: yes"", ""request_id"": ""req_497a975652be469aa0c208eb5accbd76"", ""execution_api"": ""live""}]",1,,0.85,0.85,0.85,1,0,761,7,1,yes,Battery,,gpt-4o-mini-2024-07-18,0.0,12000,200,b3da0efcb33025a739a784324b844af10ebe8a35
battery.kb.logic.00737,LOGIC_LM,logic,battery,Is LiCell-036 a Thing?,,s1,1,"[{""source"": ""LOGIC_LM"", ""text"": ""Kind: RULE  \nAnswer: yes"", ""request_id"": ""req_8481d0dd35ac4fb29192d8516eabae2e"", ""execution_api"": ""live""}]",1,,0.85,0.85,0.85,1,0,744,7,1,yes,Thing,,gpt-4o-mini-2024-07-18,0.0,12000,200,b3da0efcb33025a739a784324b844af10ebe8a35
battery.kb.logic.00738,LOGIC_LM,logic,battery,Is LiCell-101 a Thing?,,s1,1,"[{""source"": ""LOGIC_LM"", ""text"": ""Kind: RULE  \nAnswer: yes"", ""request_id"": ""req_37eabdf2c96940d5b4bf24992160d306"", ""execution_api"": ""live""}]",1,,0.85,0.85,0.85,1,0,744,7,1,yes,Thing,,gpt-4o-mini-2024-07-18,0.0,12000,200,b3da0efcb33025a739a784324b844af10ebe8a35
