id,mode,type,domain,query,product,session,success,steps,correct,latency_ms,confidence,confidence_raw,confidence_cal,cost_retrieval_calls,cost_rule_checks,cost_tokens_in,cost_tokens_out,n_steps,answer,expected_contains,cost_usd_running,model,temperature,max_context_chars,max_output_tokens,harness_commit
battery.kb.logic.00720,ADAPTIVERAG,logic,battery,Is LiCell-014 a Product?,,s1,1,"[{""source"": ""SYM"", ""proved"": null, ""refuted"": null, ""sym_trace"": {""product"": ""LiCell-014"", ""asserted"": [], ""inferred"": [[""LiCell-014"", ""rdf:type"", ""Product""]], ""rules_fired"": [""class_membership""]}, ""evidence"": [[""LiCell-014"", ""rdf:type"", ""Product""]]}]",1,50,0.5,0.5,0.5,1,0,0,0,1,Yes. LiCell-014 is a Product.,Product,0.0000,,,,,
battery.kb.logic.00721,ADAPTIVERAG,logic,battery,Is LiCell-013 a Product?,,s1,1,"[{""source"": ""SYM"", ""proved"": null, ""refuted"": null, ""sym_trace"": {""product"": ""LiCell-013"", ""asserted"": [], ""inferred"": [[""LiCell-013"", ""rdf:type"", ""Product""]], ""rules_fired"": [""class_membership""]}, ""evidence"": [[""LiCell-013"", ""rdf:type"", ""Product""]]}]",1,34,0.5,0.5,0.5,1,0,0,0,1,Yes. LiCell-013 is a Product.,Product,0.0000,,,,,
battery.kb.logic.00722,ADAPTIVERAG,logic,battery,Is LiCell-038 a Product?,,s1,1,"[{""source"": ""SYM"", ""proved"": null, ""refuted"": null, ""sym_trace"": {""product"": ""LiCell-038"", ""asserted"": [], ""inferred"": [[""LiCell-038"", ""rdf:type"", ""Product""]], ""rules_fired"": [""class_membership""]}, ""evidence"": [[""LiCell-038"", ""rdf:type"", ""Product""]]}]",1,33,0.5,0.5,0.5,1,0,0,0,1,Yes. LiCell-038 is a Product.,Product,0.0000,,,,,
battery.kb.logic.00723,ADAPTIVERAG,logic,battery,Is integer a Datatype?,,s1,1,"[{""source"": ""SYM"", ""proved"": null, ""refuted"": null, ""sym_trace"": {""product"": ""integer"", ""asserted"": [], ""inferred"": [[""integer"", ""rdf:type"", ""Datatype""]], ""rules_fired"": [""class_membership""]}, ""evidence"": [[""integer"", ""rdf:type"", ""Datatype""]]}]",1,33,0.5,0.5,0.5,1,0,0,0,1,Yes. integer is a Datatype.,Datatype,0.0000,,,,,
battery.kb.logic.00724,ADAPTIVERAG,logic,battery,Is LiCell-066 a Product?,,s1,1,"[{""source"": ""SYM"", ""proved"": null, ""refuted"": null, ""sym_trace"": {""product"": ""LiCell-066"", ""asserted"": [], ""inferred"": [[""LiCell-066"", ""rdf:type"", ""Product""]], ""rules_fired"": [""class_membership""]}, ""evidence"": [[""LiCell-066"", ""rdf:type"", ""Product""]]}]",1,33,0.5,0.5,0.5,1,0,0,0,1,Yes. LiCell-066 is a Product.,Product,0.0000,,,,,
battery.kb.logic.00725,ADAPTIVERAG,logic,battery,Is LiCell-113 a Product?,,s1,1,"[{""source"": ""SYM"", ""proved"": null, ""refuted"": null, ""sym_trace"": {""product"": ""LiCell-113"", ""asserted"": [], ""inferred"": [[""LiCell-113"", ""rdf:type"", ""Product""]], ""rules_fired"": [""class_membership""]}, ""evidence"": [[""LiCell-113"", ""rdf:type"", ""Product""]]}]",1,33,0.5,0.5,0.5,1,0,0,0,1,Yes. LiCell-113 is a Product.,Product,0.0000,,,,,
battery.kb.logic.00726,ADAPTIVERAG,logic,battery,Is LiCell-115 a Battery?,,s1,1,"[{""source"": ""SYM"", ""proved"": null, ""refuted"": null, ""sym_trace"": {""product"": ""LiCell-115"", ""asserted"": [], ""inferred"": [[""LiCell-115"", ""rdf:type"", ""Battery""]], ""rules_fired"": [""class_membership""]}, ""evidence"": [[""LiCell-115"", ""rdf:type"", ""Battery""]]}]",1,33,0.5,0.5,0.5,1,0,0,0,1,Yes. LiCell-115 is a Battery.,Battery,0.0000,,,,,
battery.kb.logic.00727,ADAPTIVERAG,logic,battery,Is LiCell-075 a Battery?,,s1,1,"[{""source"": ""SYM"", ""proved"": null, ""refuted"": null, ""sym_trace"": {""product"": ""LiCell-075"", ""asserted"": [], ""inferred"": [[""LiCell-075"", ""rdf:type"", ""Battery""]], ""rules_fired"": [""class_membership""]}, ""evidence"": [[""LiCell-075"", ""rdf:type"", ""Battery""]]}]",1,33,0.5,0.5,0.5,1,0,0,0,1,Yes. LiCell-075 is a Battery.,Battery,0.0000,,,,,
battery.kb.logic.00728,ADAPTIVERAG,logic,battery,Is LiCell-015 a Rechargeable Battery?,,s1,1,"[{""source"": ""SYM"", ""proved"": null, ""refuted"": null, ""sym_trace"": {""product"": ""LiCell-015"", ""asserted"": [], ""inferred"": [[""LiCell-015"", ""rdf:type"", ""Rechargeable Battery""]], ""rules_fired"": [""class_membership""]}, ""evidence"": [[""LiCell-015"", ""rdf:type"", ""Rechargeable Battery""]]}]",1,36,0.5,0.5,0.5,1,0,0,0,1,Yes. LiCell-015 is a Rechargeable Battery.,Rechargeable Battery,0.0000,,,,,
battery.kb.logic.00729,ADAPTIVERAG,logic,battery,Is 2200 mAh a Thing?,,s1,1,"[{""source"": ""SYM"", ""proved"": null, ""refuted"": null, ""sym_trace"": {""product"": ""2200 mAh"", ""asserted"": [], ""inferred"": [[""2200 mAh"", ""rdf:type"", ""Thing""]], ""rules_fired"": [""class_membership""]}, ""evidence"": [[""2200 mAh"", ""rdf:type"", ""Thing""]]}]",1,33,0.5,0.5,0.5,1,0,0,0,1,Yes. 2200 mAh is a Thing.,Thing,0.0000,,,,,
battery.kb.logic.00730,ADAPTIVERAG,logic,battery,Is LiCell-006 a Rechargeable Battery?,,s1,1,"[{""source"": ""SYM"", ""proved"": null, ""refuted"": null, ""sym_trace"": {""product"": ""LiCell-006"", ""asserted"": [], ""inferred"": [[""LiCell-006"", ""rdf:type"", ""Rechargeable Battery""]], ""rules_fired"": [""class_membership""]}, ""evidence"": [[""LiCell-006"", ""rdf:type"", ""Rechargeable Battery""]]}]",1,35,0.5,0.5,0.5,1,0,0,0,1,Yes. LiCell-006 is a Rechargeable Battery.,Rechargeable Battery,0.0000,,,,,
battery.kb.logic.00731,ADAPTIVERAG,logic,battery,Is VoltMax a Thing?,,s1,1,"[{""source"": ""SYM"", ""proved"": null, ""refuted"": null, ""sym_trace"": {""product"": ""VoltMax"", ""asserted"": [], ""inferred"": [[""VoltMax"", ""rdf:type"", ""Thing""]], ""rules_fired"": [""class_membership""]}, ""evidence"": [[""VoltMax"", ""rdf:type"", ""Thing""]]}]",1,36,0.5,0.5,0.5,1,0,0,0,1,Yes. VoltMax is a Thing.,Thing,0.0000,,,,,
battery.kb.logic.00732,ADAPTIVERAG,logic,battery,Is nonPositiveInteger a Datatype?,,s1,1,"[{""source"": ""SYM"", ""proved"": null, ""refuted"": null, ""sym_trace"": {""product"": ""nonPositiveInteger"", ""asserted"": [], ""inferred"": [[""nonPositiveInteger"", ""rdf:type"", ""Datatype""]], ""rules_fired"": [""class_membership""]}, ""evidence"": [[""nonPositiveInteger"", ""rdf:type"", ""Datatype""]]}]",1,36,0.5,0.5,0.5,1,0,0,0,1,Yes. nonPositiveInteger is a Datatype.,Datatype,0.0000,,,,,
